record_version,record_number,record_timestamp,aux_timestamp,mag_uT_x,mag_uT_y,mag_uT_z,aux_flags,record_timestamp_iso,record_delta_ms,aux_timestamp_iso
2,0,1761745645996,1761745646163,-1008,7541,6060,7,2025-10-29T13:47:25.996000+00:00,0,2025-10-29T13:47:26.163000+00:00
2,1,1761745646162,1761745646370,-1028,7541,6067,7,2025-10-29T13:47:26.162000+00:00,166,2025-10-29T13:47:26.370000+00:00
2,2,1761745646329,1761745646470,-1009,7532,6115,7,2025-10-29T13:47:26.329000+00:00,167,2025-10-29T13:47:26.470000+00:00
2,3,1761745646496,1761745646666,-1007,7550,6090,7,2025-10-29T13:47:26.496000+00:00,167,2025-10-29T13:47:26.666000+00:00
2,4,1761745646662,1761745646857,-1024,7545,6060,31,2025-10-29T13:47:26.662000+00:00,166,2025-10-29T13:47:26.857000+00:00
2,5,1761745646829,1761745646965,-1008,7553,6126,31,2025-10-29T13:47:26.829000+00:00,167,2025-10-29T13:47:26.965000+00:00
2,6,1761745646996,1761745647113,-1022,7565,6081,31,2025-10-29T13:47:26.996000+00:00,167,2025-10-29T13:47:27.113000+00:00
2,7,1761745647162,1761745647362,-1036,7541,6105,31,2025-10-29T13:47:27.162000+00:00,166,2025-10-29T13:47:27.362000+00:00
2,8,1761745647329,1761745647512,-1004,7528,6143,31,2025-10-29T13:47:27.329000+00:00,167,2025-10-29T13:47:27.512000+00:00
2,9,1761745647496,1761745647662,-1018,7577,6127,31,2025-10-29T13:47:27.496000+00:00,167,2025-10-29T13:47:27.662000+00:00
2,10,1761745647662,1761745647872,-998,7541,6036,31,2025-10-29T13:47:27.662000+00:00,166,2025-10-29T13:47:27.872000+00:00
2,11,1761745647829,1761745647872,-998,7541,6036,31,2025-10-29T13:47:27.829000+00:00,167,2025-10-29T13:47:27.872000+00:00
2,12,1761745647996,1761745647872,-998,7541,6036,31,2025-10-29T13:47:27.996000+00:00,167,2025-10-29T13:47:27.872000+00:00
2,13,1761745648162,1761745648385,-998,7541,6036,31,2025-10-29T13:47:28.162000+00:00,166,2025-10-29T13:47:28.385000+00:00
2,14,1761745648329,1761745648492,-1027,7564,6048,31,2025-10-29T13:47:28.329000+00:00,167,2025-10-29T13:47:28.492000+00:00
2,15,1761745648496,1761745648693,-1023,7541,6111,31,2025-10-29T13:47:28.496000+00:00,167,2025-10-29T13:47:28.693000+00:00
2,16,1761745648662,1761745648894,-1005,7543,6044,31,2025-10-29T13:47:28.662000+00:00,166,2025-10-29T13:47:28.894000+00:00
2,17,1761745648829,1761745648942,-1011,7569,6050,31,2025-10-29T13:47:28.829000+00:00,167,2025-10-29T13:47:28.942000+00:00
2,18,1761745648996,1761745648942,-1011,7569,6050,31,2025-10-29T13:47:28.996000+00:00,167,2025-10-29T13:47:28.942000+00:00
2,19,1761745649162,1761745648942,-1011,7569,6050,31,2025-10-29T13:47:29.162000+00:00,166,2025-10-29T13:47:28.942000+00:00
2,20,1761745649329,1761745649508,-1019,7560,6035,31,2025-10-29T13:47:29.329000+00:00,167,2025-10-29T13:47:29.508000+00:00
2,21,1761745649496,1761745649656,-1014,7569,6032,31,2025-10-29T13:47:29.496000+00:00,167,2025-10-29T13:47:29.656000+00:00
2,22,1761745649662,1761745649804,-1016,7552,6020,31,2025-10-29T13:47:29.662000+00:00,166,2025-10-29T13:47:29.804000+00:00
2,23,1761745649829,1761745649953,-1025,7557,6019,31,2025-10-29T13:47:29.829000+00:00,167,2025-10-29T13:47:29.953000+00:00
2,24,1761745649996,1761745649953,-1025,7557,6019,31,2025-10-29T13:47:29.996000+00:00,167,2025-10-29T13:47:29.953000+00:00
2,25,1761745650162,1761745649953,-1025,7557,6019,31,2025-10-29T13:47:30.162000+00:00,166,2025-10-29T13:47:29.953000+00:00
2,26,1761745650329,1761745650579,-1004,7571,6059,31,2025-10-29T13:47:30.329000+00:00,167,2025-10-29T13:47:30.579000+00:00
2,27,1761745650496,1761745650728,-1023,7564,5995,31,2025-10-29T13:47:30.496000+00:00,167,2025-10-29T13:47:30.728000+00:00
2,28,1761745650662,1761745650887,-1050,7547,5991,31,2025-10-29T13:47:30.662000+00:00,166,2025-10-29T13:47:30.887000+00:00
2,29,1761745650829,1761745651035,-1044,7566,6014,31,2025-10-29T13:47:30.829000+00:00,167,2025-10-29T13:47:31.035000+00:00
2,30,1761745650996,1761745651035,-1044,7566,6014,31,2025-10-29T13:47:30.996000+00:00,167,2025-10-29T13:47:31.035000+00:00
2,31,1761745651162,1761745651035,-1044,7566,6014,31,2025-10-29T13:47:31.162000+00:00,166,2025-10-29T13:47:31.035000+00:00
